id,Consent_000_RAW,Consent_001_RAW,CRS_01_RAW,CRS_02_RAW,CRS_03_RAW,CRS_04_RAW,CRS_05_RAW,CRS_06_RAW,CRS_07_RAW,CRS_08_RAW,CRS_09_RAW,CRS_10_RAW,CRS_11_RAW,CRS_12_RAW,CRS_13_RAW,CRS_14_RAW,CRS_15_RAW,CRS_16_RAW,CRS_17_RAW,CRS_18_RAW,CRS_19_RAW,CRS_20_RAW,Goodbye_001_RAW,MDDF_01_RAW,MDDF_02_RAW,MDDF_03_RAW,MDDF_04_RAW,MDDF_05_RAW,MDDF_06_RAW,MDDF_07_RAW,MDDF_08_RAW,MDDF_09_RAW,MDDF_10_RAW,MDDF_11_RAW,MDDF_12_RAW,MDDF_13_RAW,MDDF_14_RAW,MDDF_15_RAW,MDDF_16_RAW,MDDF_17_RAW,MDDF_18_RAW,MDDF_19_RAW,MDDF_20_RAW,MDDF_21_RAW,MDDF_22_RAW,MDDF_23_RAW,MDDF_24_RAW,MDDF_25_RAW,MDDF_26_RAW,MDDF_27_RAW,MDDF_28_RAW,MDDF_29_RAW,MDDF_30_RAW,MDDF_31_RAW,MDDF_32_RAW,MDDF_33_RAW,MDDF_34_RAW,MDDF_35_RAW,MDDF_36_RAW,MDDF_37_RAW,MDDF_38_RAW,MDDF_39_RAW,MDDF_40_RAW,MDDF_41_RAW,MDDF_42_RAW,MDDF_43_RAW,MDDF_44_RAW,MDDF_45_RAW,MDDF_46_RAW,MDDF_47_RAW,MDDF_48_RAW,MDDF_49_RAW,MDDF_50_RAW,MDDF_51_RAW,MDDF_52_RAW,MDDF_53_RAW,MDDF_54_RAW,MDDF_55_RAW,MDDF_56_RAW,MDDF_57_RAW,MDDF_58_RAW,MDDF_59_RAW,MDDF_60_RAW,MDDF_61_RAW,MDDF_62_RAW,MDDF_63_RAW
19,"",acepto participar,Ocasionalmente,Demasiado,A menudo,Ocasionalmente,Nunca,Ocasionalmente,Muy a menudo,Mucho,Mucho,Nada,Nada,Un poco,Rara vez,Rara vez,A menudo,Algo,Mucho,Nunca,Muy a menudo,Muy a menudo,c3vex4lrv4p031x7y3ac,Medianamente inadecuado,No,,Poco inadecuado,Si,5,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Un poco adecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,
2,"",acepto participar,Rara vez,Un poco,Ocasionalmente,Nunca,Muy a menudo,A menudo,Nunca,Algo,Nada,Demasiado,Demasiado,Algo,Nunca,Rara vez,A menudo,Un poco,Algo,Ocasionalmente,Muy a menudo,Rara vez,ncddtsfx5cr832r0mbu1,Sin opinion,Si,1,Un poco adecuado,Si,3,Sin opinion,No,,Altamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,
20,"",acepto participar,Muy a menudo,Demasiado,Ocasionalmente,Nunca,Rara vez,A menudo,Rara vez,Algo,Algo,Demasiado,Un poco,Algo,Ocasionalmente,Muy a menudo,Muy a menudo,Demasiado,Demasiado,Rara vez,Nunca,A menudo,y9xk3ytacls80b2q0x6c,Altamente adecuado,No,,Poco inadecuado,Si,1,Poco inadecuado,Si,4,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
21,"",acepto participar,Muy a menudo,Mucho,Ocasionalmente,Nunca,Ocasionalmente,Muy a menudo,A menudo,Mucho,Nada,Nada,Un poco,Un poco,Rara vez,A menudo,Ocasionalmente,Mucho,Nada,Muy a menudo,Muy a menudo,Rara vez,5matexbx553s2spza0dk,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
22,"",acepto participar,Muy a menudo,Algo,Nunca,Rara vez,A menudo,Rara vez,Ocasionalmente,Algo,Demasiado,Un poco,Algo,Algo,Muy a menudo,Muy a menudo,Muy a menudo,Demasiado,Un poco,Nunca,A menudo,Ocasionalmente,s75upvkfe86zpnylm585,Medianamente inadecuado,Si,3,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Poco inadecuado,Si,5,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,
23,"",acepto participar,A menudo,Algo,Nunca,Ocasionalmente,Muy a menudo,A menudo,A menudo,Nada,Nada,Un poco,Un poco,Un poco,A menudo,Ocasionalmente,A menudo,Nada,Demasiado,Muy a menudo,Rara vez,Ocasionalmente,yzmd0u498uzsmzw2g0w0,Poco inadecuado,Si,5,Medianamente adecuado,Si,2,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,6,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7
24,"",acepto participar,Ocasionalmente,Nada,Rara vez,A menudo,Rara vez,Ocasionalmente,Ocasionalmente,Demasiado,Un poco,Algo,Algo,Demasiado,Muy a menudo,Muy a menudo,Muy a menudo,Un poco,Nada,A menudo,Ocasionalmente,Ocasionalmente,g1mqbmczh6kd8g5y7y04,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
25,"",acepto participar,Ocasionalmente,Nada,Ocasionalmente,Muy a menudo,A menudo,A menudo,Nunca,Nada,Un poco,Un poco,Un poco,Mucho,Ocasionalmente,A menudo,Nunca,Demasiado,Demasiado,Rara vez,Ocasionalmente,Rara vez,ag4rlorhxb9jd7a8xdf8,Altamente adecuado,Si,6,Un poco adecuado,No,,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
26,"",acepto participar,Nunca,Un poco,A menudo,Rara vez,Ocasionalmente,Ocasionalmente,Muy a menudo,Un poco,Algo,Algo,Demasiado,Demasiado,Muy a menudo,Muy a menudo,Rara vez,Nada,Mucho,Ocasionalmente,Ocasionalmente,A menudo,udmvygv5dgttg2vqemz5,Poco inadecuado,Si,4,Altamente adecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Medianamente inadecuado,Si,3,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6
27,"",acepto participar,Nunca,Algo,Muy a menudo,A menudo,A menudo,Nunca,Nunca,Un poco,Un poco,Un poco,Mucho,Algo,A menudo,Nunca,Muy a menudo,Demasiado,Un poco,Ocasionalmente,Rara vez,Ocasionalmente,8vkka8hekh9cp9yjo5pv,Un poco adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Medianamente inadecuado,Si,3,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6
28,"",acepto participar,Rara vez,Mucho,Rara vez,Ocasionalmente,Ocasionalmente,Muy a menudo,Rara vez,Algo,Algo,Demasiado,Demasiado,Demasiado,Muy a menudo,Rara vez,Nunca,Mucho,Algo,Ocasionalmente,A menudo,Muy a menudo,spwam5wshorr69a57fym,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,
29,"",acepto participar,Ocasionalmente,Demasiado,A menudo,A menudo,Nunca,Nunca,Rara vez,Un poco,Un poco,Mucho,Algo,Mucho,Nunca,Muy a menudo,Muy a menudo,Un poco,Algo,Rara vez,Ocasionalmente,Ocasionalmente,3o7um28k3kwfhrg8uqng,Medianamente adecuado,Si,2,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,
3,"",acepto participar,A menudo,Mucho,Rara vez,A menudo,Nunca,A menudo,Nunca,Algo,Algo,Demasiado,Mucho,Algo,Nunca,Ocasionalmente,Muy a menudo,Mucho,Mucho,Nunca,Nunca,Rara vez,n2n0rc9qvd3831y69xox,Poco inadecuado,No,,Medianamente inadecuado,Si,2,Sin opinion,No,,Altamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,
30,"",acepto participar,A menudo,Un poco,Ocasionalmente,Ocasionalmente,Muy a menudo,Rara vez,Ocasionalmente,Algo,Demasiado,Demasiado,Demasiado,Demasiado,Rara vez,Nunca,A menudo,Algo,Algo,A menudo,Muy a menudo,Ocasionalmente,oj2ezhwszwmf9o0xmy21,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente adecuado,Si,1,Poco inadecuado,Si,5,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,
31,"",acepto participar,Muy a menudo,Mucho,A menudo,Nunca,Nunca,Rara vez,Rara vez,Un poco,Mucho,Algo,Mucho,Nada,Muy a menudo,Muy a menudo,Rara vez,Algo,Un poco,Ocasionalmente,Ocasionalmente,A menudo,91cu6bt63a4g9ylafnru,Un poco adecuado,No,,Muy inadecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,
32,"",acepto participar,Rara vez,Algo,Ocasionalmente,Muy a menudo,Rara vez,Ocasionalmente,Ocasionalmente,Demasiado,Demasiado,Demasiado,Demasiado,Un poco,Nunca,A menudo,Ocasionalmente,Algo,Mucho,Muy a menudo,Ocasionalmente,Rara vez,r1yuvoh5al57nxgt0zjp,Altamente adecuado,No,,Un poco adecuado,Si,3,Altamente adecuado,Si,2,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
33,"",acepto participar,A menudo,Mucho,Nunca,Nunca,Rara vez,Rara vez,Rara vez,Mucho,Algo,Mucho,Nada,Demasiado,Muy a menudo,Rara vez,Ocasionalmente,Un poco,Algo,Ocasionalmente,A menudo,Ocasionalmente,loc54ns5hh9c5vp0elt7,Medianamente inadecuado,Si,6,Poco inadecuado,Si,3,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,
34,"",acepto participar,Ocasionalmente,Algo,Muy a menudo,Rara vez,Ocasionalmente,Ocasionalmente,Muy a menudo,Demasiado,Demasiado,Demasiado,Un poco,Nada,A menudo,Ocasionalmente,Ocasionalmente,Mucho,Demasiado,Ocasionalmente,Rara vez,Rara vez,naa3ld6m41lvvwj02v1k,Un poco adecuado,Si,7,Poco inadecuado,No,,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,
